id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
ETH_2018_0,8.0,16127.41,360.95,0.0,1.0,0.0,0,0.0,0,6.0,1.0,0.0,0.0,0.0,8463.13,0.0,0,0.0,0,5434.49,2229.79,0.0,0.0,0.0,189.41,0.0,0,0.0,0,121.63,49.91,0.0,0.0
ETH_2018_1,10.0,9955.4,223.02,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7494.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,167.88,0,0.0,0.0,0.0,0.0
ETH_2018_10,3.0,11728.95,263.69,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1982.52,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,44.57,0.0,0.0
ETH_2018_100,2.0,8392.07,190.33,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
ETH_2018_101,47.0,23902.34,542.26,41.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,10038.45,0.0,0.0,0,0.0,0,0.0,7352.23,0.0,0.0,227.74,0.0,0.0,0,0.0,0,0.0,166.8,0.0,0.0
ETH_2018_102,29.0,40007.13,907.78,8.0,0.0,0.0,0,1.0,0,2.0,0.0,0.0,3.0,4109.23,0.0,0.0,0,1201.61,0,9446.07,0.0,0.0,4734.86,93.24,0.0,0.0,0,27.27,0,214.33,0.0,0.0,107.44
ETH_2018_103,25.0,45621.59,1035.2,0.0,0.0,0.0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10751.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243.96,0,0.0,0.0,0.0,0.0
ETH_2018_104,7.0,14867.82,337.43,1.0,0.0,0.0,0,2.0,0,2.0,0.0,0.0,0.0,492.15,0.0,0.0,0,2773.6,0,7035.41,0.0,0.0,0.0,11.17,0.0,0.0,0,62.95,0,159.67,0.0,0.0,0.0
ETH_2018_105,4.0,13216.1,299.98,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
ETH_2018_106,6.0,12232.94,277.72,0.0,0.0,0.0,0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,533.68,0,6664.55,0.0,0.0,0.0,0.0,0.0,0.0,0,12.12,0,151.3,0.0,0.0,0.0
ETH_2018_107,26.0,47183.19,1071.3,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10813.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,245.53,0.0,0.0,0.0
ETH_2018_108,3.0,8957.92,203.41,0.0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7115.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,161.57,0,0.0,0.0,0.0,0.0
ETH_2018_109,8.0,17151.03,389.45,0.0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,790.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.94,0,0.0,0.0,0.0,0.0
ETH_2018_11,8.0,26558.07,597.13,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,7894.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,177.5,0.0,0.0,0.0
